+----+-----------------------------+-----------+-------------+-------------+
| id | item_name                   | item_type | item_region | item_rarity |
+----+-----------------------------+-----------+-------------+-------------+
|  1 | Rusted Short Sword          | Weapons   | Green       | Common      |
|  2 | Worn Iron Dagger            | Weapons   | Green       | Common      |
|  3 | Training Spear              | Weapons   | Green       | Common      |
|  4 | Cracked Wooden Club         | Weapons   | Green       | Common      |
|  5 | Old Hunter’s Bow            | Weapons   | Green       | Common      |
|  6 | Splintered Buckler          | Shields   | Green       | Common      |
|  7 | Faded Iron Shield           | Shields   | Green       | Common      |
|  8 | Wooden Guard Shield         | Shields   | Green       | Common      |
|  9 | Bronze Kite Shield          | Shields   | Green       | Common      |
| 10 | Worn Tower Shield           | Shields   | Green       | Common      |
| 11 | Patchwork Leather Armor     | Armor     | Green       | Common      |
| 12 | Frayed Cloth Robe           | Armor     | Green       | Common      |
| 13 | Light Iron Chestplate       | Armor     | Green       | Common      |
| 14 | Bent Iron Helm              | Armor     | Green       | Common      |
| 15 | Padded Leather Cap          | Armor     | Green       | Common      |
| 16 | Polished Steel Sword        | Weapons   | Red         | Common      |
| 17 | Polished Steel Sword        | Weapons   | Red         | Rare        |
| 18 | Reinforced Iron Dagger      | Weapons   | Red         | Common      |
| 19 | Reinforced Iron Dagger      | Weapons   | Red         | Rare        |
| 20 | Sharpened War Spear         | Weapons   | Red         | Common      |
| 21 | Sharpened War Spear         | Weapons   | Red         | Rare        |
| 22 | Heavy Oak Club              | Weapons   | Red         | Common      |
| 23 | Heavy Oak Club              | Weapons   | Red         | Rare        |
| 24 | Longbow of the Hunt         | Weapons   | Red         | Common      |
| 25 | Longbow of the Hunt         | Weapons   | Red         | Rare        |
| 26 | Sturdy Iron Buckler         | Shields   | Red         | Common      |
| 27 | Sturdy Iron Buckler         | Shields   | Red         | Rare        |
| 28 | Tempered Bronze Shield      | Shields   | Red         | Common      |
| 29 | Tempered Bronze Shield      | Shields   | Red         | Rare        |
| 30 | Reinforced Wooden Guard     | Shields   | Red         | Common      |
| 31 | Reinforced Wooden Guard     | Shields   | Red         | Rare        |
